time,open,high,low,close,volume
2026-06-30T16:06:00Z,746.15,746.41,746.14,746.28,121942
2026-06-30T16:08:00Z,746.28,746.3,746.01,746.09,137988
2026-06-30T16:10:00Z,746.08,746.23,746.07,746.16,92881
2026-06-30T16:12:00Z,746.16,746.32,746.05,746.1,79238
2026-06-30T16:14:00Z,746.1,746.32,746.05,746.32,69954
2026-06-30T16:16:00Z,746.32,746.62,746.32,746.48,175946
2026-06-30T16:18:00Z,746.47,746.47,746.31,746.39,72053
2026-06-30T16:20:00Z,746.39,746.43,746.26,746.28,81133
2026-06-30T16:22:00Z,746.28,746.53,746.28,746.37,80474
2026-06-30T16:24:00Z,746.37,746.47,746.28,746.33,78719
2026-06-30T16:26:00Z,746.33,746.44,746.31,746.36,125200
2026-06-30T16:28:00Z,746.36,746.38,746.26,746.29,63029
2026-06-30T16:30:00Z,746.29,746.42,746.16,746.26,124624
2026-06-30T16:32:00Z,746.28,746.29,746.14,746.25,91582
2026-06-30T16:34:00Z,746.24,746.28,746.12,746.15,85077
2026-06-30T16:36:00Z,746.15,746.29,746.14,746.24,74330
2026-06-30T16:38:00Z,746.23,746.42,746.21,746.42,54388
2026-06-30T16:40:00Z,746.4,746.48,746.33,746.42,123895
2026-06-30T16:42:00Z,746.42,746.61,746.42,746.47,105630
2026-06-30T16:44:00Z,746.47,746.59,746.44,746.54,90682
2026-06-30T16:46:00Z,746.55,746.62,746.51,746.55,96340
2026-06-30T16:48:00Z,746.54,746.79,746.51,746.79,109617
2026-06-30T16:50:00Z,746.79,746.91,746.63,746.81,138222
2026-06-30T16:52:00Z,746.8,746.97,746.77,746.97,100710
2026-06-30T16:54:00Z,746.96,747.04,746.85,746.88,122714
2026-06-30T16:56:00Z,746.88,746.92,746.81,746.81,68206
2026-06-30T16:58:00Z,746.8,746.84,746.65,746.77,86074
2026-06-30T17:00:00Z,746.78,746.92,746.77,746.83,80343
2026-06-30T17:02:00Z,746.82,747.08,746.82,747.07,76864
2026-06-30T17:04:00Z,747.08,747.14,746.84,746.96,77349
2026-06-30T17:06:00Z,746.95,747.08,746.9,747.03,68794
2026-06-30T17:08:00Z,747.04,747.05,746.87,746.87,64470
2026-06-30T17:10:00Z,746.89,746.92,746.77,746.88,48438
2026-06-30T17:12:00Z,746.87,746.88,746.67,746.68,60751
2026-06-30T17:14:00Z,746.68,746.71,746.54,746.55,88950
2026-06-30T17:16:00Z,746.55,746.75,746.52,746.6,73477
2026-06-30T17:18:00Z,746.6,746.68,746.53,746.64,175106
2026-06-30T17:20:00Z,746.65,746.89,746.65,746.7,67238
2026-06-30T17:22:00Z,746.69,746.77,746.6,746.67,79994
2026-06-30T17:24:00Z,746.69,746.75,746.61,746.66,67126
2026-06-30T17:26:00Z,746.68,746.7,746.46,746.47,78078
2026-06-30T17:28:00Z,746.47,746.58,746.37,746.49,89320
2026-06-30T17:30:00Z,746.51,746.54,746.34,746.38,69730
2026-06-30T17:32:00Z,746.37,746.66,746.32,746.66,89376
2026-06-30T17:34:00Z,746.67,746.67,746.55,746.57,53857
2026-06-30T17:36:00Z,746.57,746.57,746.33,746.33,96712
2026-06-30T17:38:00Z,746.33,746.38,746.15,746.2,107592
2026-06-30T17:40:00Z,746.2,746.38,746.18,746.36,67973
2026-06-30T17:42:00Z,746.35,746.62,746.35,746.5,182138
2026-06-30T17:44:00Z,746.51,746.66,746.44,746.44,70850
2026-06-30T17:46:00Z,746.47,746.54,746.32,746.33,80393
2026-06-30T17:48:00Z,746.32,746.45,746.32,746.37,66922
2026-06-30T17:50:00Z,746.38,746.56,746.3,746.47,80832
2026-06-30T17:52:00Z,746.45,746.6,746.36,746.54,54674
2026-06-30T17:54:00Z,746.53,746.54,746.4,746.45,55931
2026-06-30T17:56:00Z,746.45,746.54,746.43,746.51,71166
2026-06-30T17:58:00Z,746.5,746.53,746.42,746.49,50135
2026-06-30T18:00:00Z,746.49,746.57,746.38,746.53,75996
2026-06-30T18:02:00Z,746.53,746.81,746.53,746.72,97781
2026-06-30T18:04:00Z,746.72,746.86,746.52,746.54,105526
2026-06-30T18:06:00Z,746.55,746.74,746.32,746.71,103223
2026-06-30T18:08:00Z,746.71,746.77,746.62,746.66,100768
2026-06-30T18:10:00Z,746.66,746.78,746.64,746.72,98492
2026-06-30T18:12:00Z,746.72,746.8,746.58,746.79,64497
2026-06-30T18:14:00Z,746.78,746.85,746.73,746.76,70420
2026-06-30T18:16:00Z,746.77,746.86,746.68,746.77,72408
2026-06-30T18:18:00Z,746.76,746.97,746.7,746.95,85633
2026-06-30T18:20:00Z,746.94,747.08,746.9,747.08,114835
2026-06-30T18:22:00Z,747.08,747.08,746.94,746.99,94984
2026-06-30T18:24:00Z,746.99,746.99,746.83,746.88,156318
2026-06-30T18:26:00Z,746.89,746.91,746.7,746.73,84582
2026-06-30T18:28:00Z,746.72,746.84,746.71,746.8,63561
2026-06-30T18:30:00Z,746.77,746.82,746.6,746.65,116652
2026-06-30T18:32:00Z,746.65,746.8,746.56,746.66,98980
2026-06-30T18:34:00Z,746.66,746.81,746.61,746.78,96190
2026-06-30T18:36:00Z,746.79,746.85,746.66,746.8,73437
2026-06-30T18:38:00Z,746.79,746.79,746.69,746.73,87382
2026-06-30T18:40:00Z,746.73,746.95,746.72,746.95,125477
2026-06-30T18:42:00Z,746.95,747.05,746.83,747.05,94783
2026-06-30T18:44:00Z,747.04,747.06,746.88,746.92,96654
